id,text,annotator,annotation_id,created_at,updated_at,lead_time,Pasien,Usia pasien,Penyakit,Gejala,Kapan,Periode,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Objek,Penutup,Referensi,Artikel,Pengukuran,Predikat
821-1-0,P,1,821,2022-11-16T05:55:53.144042Z,2022-11-16T05:55:53.144067Z,1.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816-1-0,Salam,1,816,2022-11-15T13:58:27.795105Z,2022-11-15T13:58:27.795139Z,17.363,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
815-1-0,Semoga membantu ya,1,815,2022-11-15T13:58:09.067035Z,2022-11-15T13:58:09.067086Z,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
814-1-0,    Hindari konsumsi Alkohol dan rokok,1,814,2022-11-15T13:57:53.571838Z,2022-11-15T13:58:00.947210Z,6.827,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
813-1-0,    Olahraga rutin,1,813,2022-11-15T13:57:50.069477Z,2022-11-15T13:57:50.069509Z,1.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
812-1-0,    Jaga asupan nutrisi,1,812,2022-11-15T13:57:47.060307Z,2022-11-15T13:57:47.060340Z,6.968,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
811-1-0,    Sering berinteraksi dengan orang sekitar anda,1,811,2022-11-15T13:57:38.993031Z,2022-11-15T13:57:38.993064Z,2.768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
810-1-0,    Mengelola stres dengan baik,1,810,2022-11-15T13:57:33.678372Z,2022-11-15T13:57:33.678402Z,3.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
809-1-0,    Anda bisa menuliskan apa yang hendak anda kerjakan atau menuliskannya di catatan smartphone anda sehingga anda tau apa yang anda hendak kerjakan,1,809,2022-11-15T13:57:29.587479Z,2022-11-15T13:57:29.587512Z,12.485,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
808-1-0,"    Kerjakan sesuatu dengan fokus mulai dari melakukan hal kecil, selesaikan satu persatu yang hendak anda kerjakan.",1,808,2022-11-15T13:57:16.004627Z,2022-11-15T13:57:16.004664Z,34.176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
807-1-0,"    Istirahat cukup, hindari untuk tidur larut malam",1,807,2022-11-15T13:56:40.788861Z,2022-11-15T13:56:40.788895Z,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
806-1-0,    Minimalisir aktivitas fisik yang berat dan melelahkan,1,806,2022-11-15T13:56:36.830688Z,2022-11-15T13:56:36.830720Z,3.109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
805-1-0,"Saat ini, adapun beberapa anjuran yang dapat anda lakukan, seperti :",1,805,2022-11-15T13:56:32.399517Z,2022-11-15T13:56:32.399549Z,158.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804-1-0,"Sebaiknya, untuk memastikan kondisi anda saat ini, Anda dapat berkonsultasi dengan dokter.",1,804,2022-11-15T13:53:50.888558Z,2022-11-15T13:53:50.888585Z,35.493,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
804-1-91,"Anda dapat berkonsultasi dengan dokter psikiatri dengan langsung bertemu tatap muka, ataupun Anda dapat berkonsultasi melalui fitur chat yang ada di Alodokter.",1,804,2022-11-15T13:53:50.888558Z,2022-11-15T13:53:50.888585Z,35.493,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
804-1-251,Dokter akan dapat mengevaluasi lebih lanjut sehingga dapat memberikan penanganan yang sesuai.,1,804,2022-11-15T13:53:50.888558Z,2022-11-15T13:53:50.888585Z,35.493,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
803-1-0,    Sering mengkonsumsi alkohol,1,803,2022-11-15T13:53:14.299913Z,2022-11-15T13:53:14.299937Z,5.606,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
800-1-0,    Kurang konsumsi vitamin B12,1,800,2022-11-15T13:51:53.685181Z,2022-11-15T13:53:07.491814Z,14.359,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
798-1-0,    Gangguan emosi,1,798,2022-11-15T13:51:32.422531Z,2022-11-15T13:52:40.439228Z,7.742000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
802-1-0,    Banyak konsumsi beberapa obat,1,802,2022-11-15T13:52:33.989967Z,2022-11-15T13:52:33.990013Z,2.111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
801-1-0,    Kurangnya tidur,1,801,2022-11-15T13:52:28.558985Z,2022-11-15T13:52:28.559039Z,9.887,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
799-1-0,"    Adanya gangguan medis tertentu seperti gangguan hormon tiroid, riwayat cidera kepala",1,799,2022-11-15T13:51:45.702519Z,2022-11-15T13:51:45.702561Z,12.229,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795-1-0,"Saat ini, karena keterbatasan informasi dan perlunya evaluasi lebih lanjut, sangat perlu dipastikan penyebab kondisi anda saat ini.",1,795,2022-11-15T13:51:17.155209Z,2022-11-15T13:51:17.155245Z,332.857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
795-1-132,"Karena untuk mendiagnosis suatu penyakit perlunya pemeriksaan mulai dari riwayat medis, pemeriksaan fisik hingga penunjang yang diperlukan.",1,795,2022-11-15T13:51:17.155209Z,2022-11-15T13:51:17.155245Z,332.857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
795-1-272,"Selain itu, kondisi seperti sering lupa dan tidak fokus juga dapat diakibatkan oleh beberapa kondisis seperti :",1,795,2022-11-15T13:51:17.155209Z,2022-11-15T13:51:17.155245Z,332.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794-1-0,"Gejala ADHD pada anakGejala utama ADHD adalah sulit memusatkan perhatian, serta menunjukkan perilaku hiperaktifdan impulsif.",1,794,2022-11-15T13:45:36.352183Z,2022-11-15T13:45:36.352220Z,96.864,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794-1-125,Dimana pada anak dengan ADHD keluhan bertambah parah.,1,794,2022-11-15T13:45:36.352183Z,2022-11-15T13:45:36.352220Z,96.864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794-1-179,"Keluhan yang muncul seperti tidak fokus dalam mengerjakan sesuatu, perhatian teralihkan, tidak memperhatikan hal detail, ceroboh dan lain-lain.",1,794,2022-11-15T13:45:36.352183Z,2022-11-15T13:45:36.352220Z,96.864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794-1-323,Pada ADHD yang dialami usia dewasa biasanya sebelumnya pernah mengalami ADHD pada masa kecil.Gejala hiperaktif pada ADHD biasanya akan berkurang seiring bertambahnya usia.,1,794,2022-11-15T13:45:36.352183Z,2022-11-15T13:45:36.352220Z,96.864,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
794-1-495,"Namun sebaliknya, gejala sulit memusatkan perhatian cenderung bertambah parah seiring pertambahan usia.",1,794,2022-11-15T13:45:36.352183Z,2022-11-15T13:45:36.352220Z,96.864,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
793-1-0,Sering lupa dan kesulitan untuk fokus umumnya sering dialami oleh setiap orang.,1,793,2022-11-15T13:43:56.426498Z,2022-11-15T13:43:56.426530Z,186.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793-1-80,Selama keluhan tidak mengganggu aktivitas maka hal tersebut wajar terjadi.,1,793,2022-11-15T13:43:56.426498Z,2022-11-15T13:43:56.426530Z,186.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793-1-155,"Namun, apabila keluhan yang terjadi telah berlangsung lama hingga mengganggu aktivitas maka perlu dievaluasi lebih lanjut.",1,793,2022-11-15T13:43:56.426498Z,2022-11-15T13:43:56.426530Z,186.75,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
793-1-278,"Menilik dari apa yang anda sampaikan serta anda keluhkan saat ini, perlu dipahami bahwa Attention deficit hyperactivity disorder(ADHD) merupakan salah satu kelainan perkembangan terbanyak pada masa anak dan dapat berlangsung sampai masa remaja dan dewasa.",1,793,2022-11-15T13:43:56.426498Z,2022-11-15T13:43:56.426530Z,186.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793-1-534,Umumnya gejala ADHD pada anak sudah muncul sejak usia 3 tahun.,1,793,2022-11-15T13:43:56.426498Z,2022-11-15T13:43:56.426530Z,186.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792-1-0,Terimakasih telah bertanya di Alodokter.,1,792,2022-11-15T13:40:47.144006Z,2022-11-15T13:40:47.144065Z,65.748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
791-1-0,"Alo Bsdtalia,",1,791,2022-11-15T13:39:39.048906Z,2022-11-15T13:39:39.049004Z,129.512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
790-1-0,Selamat sore dok.,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
790-1-18,Saya berusia 17 tahun.,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-41,"Saya entah mengapa susah fokus, sering melamun, sering lupa, dll.",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-107,Saya sudah melakukan berbagai cara untuk mengubah habit saya tapi tidak ada yang berhasil sampai kedua ortu saya sudah capek.,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
790-1-233,"Saya sudah konsultasi pula ke psikolog dan sudah diberi latihan yang lain, awalnya selalu berjalan lancar tapi diakhir2 saya kembali ke awal.",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
790-1-375,Saat saya memang sedang benar2 fokus dengan suatu hal yang saya lakukan yang lainnya terlupakan karena saya terpaku pada satu hal yang saya sedang kerjakan itu saja.,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
790-1-541,"Lalu entah mengapa di beberapa hari kemudian saya bisa tiba-tiba sad, lazy, seperti tidak ada energi.",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-643,"Di hari-hari seperti itu brain saya terasa off, tidak bisa berpikir jernih, sering melakukan kesalahan-kesalahan sepele.",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-764,Saya juga sulit mencerna informasi yang kurang detail.,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-819,"Saya ingat dulu saya juga sering kurang fokus dan memang hiperaktif, tapi sekarang saya tidak hiperaktif lagi justru saya sekarang pendiam.",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790-1-959,"Kira-kira saya kenapa ya, dok?",1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
790-1-990,Tolong jawabannya karena saya juga sudah bingung ada apa dengan saya..,1,790,2022-11-15T13:33:14.302946Z,2022-11-15T13:37:27.221249Z,1137.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476-1-0,"Demikian informasi yang dapat disampaikan, semoga bermanfaat.",1,476,2022-11-14T13:40:35.137013Z,2022-11-14T13:40:35.137037Z,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
476-1-62,Terima kasih.,1,476,2022-11-14T13:40:35.137013Z,2022-11-14T13:40:35.137037Z,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
475-1-0,Kemungkinan gejala yang anda sampaikan dapat menjadi tanda atau gejala autisme pada anak anda.,1,475,2022-11-14T13:40:24.470505Z,2022-11-14T13:40:24.470528Z,73.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475-1-95,"Namun hal ini belum dapat dipastikan karena gejalanya dapat menyerupai gangguan atau kondisi lain seperti ADHD, gangguan cemas, sindrom Asperger, dan reaksi trauma akibat kekerasan.",1,475,2022-11-14T13:40:24.470505Z,2022-11-14T13:40:24.470528Z,73.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475-1-277,"Maka dari itu untuk memastikannya, sebaiknya anda berkonsultasi lebih lanjut dengan dokter anak untuk dilakukan pemeriksaan tumbuh kembang pada anak anda, sehingga diagnosis dan penanganan dapat dilakukan dengan tepat.",1,475,2022-11-14T13:40:24.470505Z,2022-11-14T13:40:24.470528Z,73.35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
474-1-0,Autisme atauAutism Spectrum Disorder(ASD) merupakan gangguan perkembangan yang dapat menyebabkan kemampuan komunikasi dan sosialisasi anak terganggu.,1,474,2022-11-14T13:39:09.584974Z,2022-11-14T13:39:09.585000Z,103.357,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
474-1-150,Gejala autisme dapat mulai terlihat pada anak usia 2-4 tahun.,1,474,2022-11-14T13:39:09.584974Z,2022-11-14T13:39:09.585000Z,103.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474-1-212,"Gejalanya dapat beragam dapat berupa kesulitan komunikasi, sulit memulai percakapan dan memahami maksud atau petunjuk dari orang lain, mengucapkan satu kata secara berulang, sering tantrum, sulit bersosialisasi atau tidak mudah berteman, marah/menangis/tertawa tanpa alasan jelas, hanya menyukai dan mengonsumsi makanan tertentu, melakukan gerakan berulang seperti mengayun atau memutar badan, hanya menyukai objek atau topik tertentu, melakukan aktivitas yang membahayakan dirinya seperti menggigit kencang atau membenturkan kepala ke dinding, memiliki bahasa atau gerakan tubuh yang cenderung kaku, serta sulit tidur.",1,474,2022-11-14T13:39:09.584974Z,2022-11-14T13:39:09.585000Z,103.357,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473-1-0,"Terima kasih atas pertanyaannya untuk Alodokter,",1,473,2022-11-14T13:37:25.218994Z,2022-11-14T13:37:25.219017Z,3.002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472-1-0,"Alo Haryati,",1,472,2022-11-14T13:37:21.141058Z,2022-11-14T13:37:21.141081Z,5.815,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
471-1-0,dok anak saya sekarang umur 5 tahun tapi sedari umur 3 tahun sekali ia marah dia menyakiti dirinya sendiri memukul anggota tubuhnya seperti kepala dan dadanya.. Saat masih bayi ia sulit tidur sampai dengan umur 3 tahun lebih ia tidur jam 3an pagi.Sekarang umur 5 tahun dia belum bisa menulis garis miring tapi garis lingkaran iya bisa.. Kira-kira apakah itu bisa jadi gejala anak sy autis.,1,471,2022-11-14T13:37:14.002190Z,2022-11-14T13:37:14.002214Z,110.713,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
470-1-0,"perlu dipahami jika perlu diketahui tingkat keparahannya dahulu, Jika memang sedang dan berat tentu perlu dilakukan pada sekolah khusus semoga membantu",1,470,2022-11-14T13:35:21.965744Z,2022-11-14T13:35:21.965767Z,35.278,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
